date,country,market,category,commodity,unit,currency,pricetype,price,usdprice,latitude,longitude
2022-08-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1248.43,0.3374,3.107,31.3126
2022-09-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1309.13,0.3538,0.1582,32.3813
2022-10-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1236.23,0.3341,3.8354,30.4889
2022-11-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1092.06,0.2952,0.9801,34.9588
2022-12-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,974.7,0.2634,2.7671,34.4103
2023-01-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,874.34,0.2363,1.4575,31.306
2023-02-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,835.33,0.2258,2.2715,31.6178
2023-03-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,856.93,0.2316,2.7567,31.0173
2023-04-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,863.81,0.2335,-0.1265,30.2629
2023-05-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1034.16,0.2795,-0.6263,30.568
2023-06-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1242.37,0.3358,3.485,30.6607
2023-07-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1324.73,0.358,2.9312,34.8479
2023-08-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1412.93,0.3819,-0.6798,29.6753
2023-09-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1512.08,0.4087,-0.7486,33.2594
2023-10-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1298.53,0.351,1.3861,33.349
2023-11-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1106.84,0.2991,-0.3613,33.9423
2023-12-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1020.69,0.2759,2.7122,30.3077
2024-01-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,900.44,0.2434,0.2154,32.2384
2024-02-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,872.49,0.2358,3.9471,31.1468
2024-03-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,850.61,0.2299,-1.3583,32.5981
2024-04-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,914.65,0.2472,-0.8964,30.3578
2024-05-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1026.64,0.2775,4.0075,32.8186
2024-06-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1112.8,0.3008,3.0849,32.1239
2024-07-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1203.49,0.3253,-1.3983,30.1894
2024-08-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1241.78,0.3356,3.0419,30.8563
2024-09-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1240.62,0.3353,1.9543,34.2858
2024-10-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1290.47,0.3488,0.8517,31.6206
2024-11-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1222.65,0.3304,2.216,34.2844
2024-12-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1011.37,0.2733,-0.0873,30.878
2025-01-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,867.08,0.2343,3.1544,30.1685
2025-02-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,833.26,0.2252,1.8883,30.3893
2025-03-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,903.85,0.2443,0.2689,30.3769
2025-04-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,997.98,0.2697,-0.5565,31.1375
2025-05-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1102.1,0.2979,-0.8417,29.7142
2025-06-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1227.41,0.3317,-0.5045,29.8883
2025-07-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1392.62,0.3764,2.3801,31.7256
2025-08-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1509.19,0.4079,1.3758,34.325
2025-09-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1469.58,0.3972,-1.2522,30.5801
2025-10-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1566.35,0.4233,-0.0785,32.6847
2025-11-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1437.13,0.3884,-1.2193,31.6175
2025-12-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1287.77,0.348,-0.9205,34.1007
2026-01-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1175.09,0.3176,3.7716,30.1352
2026-02-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1158.09,0.313,3.6451,34.8897
2026-03-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1140.81,0.3083,2.943,33.0694
2026-04-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1201.04,0.3246,-0.7331,32.4948
2026-05-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1343.55,0.3631,3.3882,32.0991
2026-06-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1498.31,0.4049,2.1455,31.0389
2026-07-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1636.8,0.4424,1.2239,31.8512
2018-01-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,3429.06,0.9268,0.5948,31.5785
2018-02-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,3190.77,0.8624,0.6629,33.303
2018-03-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,3157.6,0.8534,3.9085,34.5483
2018-04-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,3660.36,0.9893,0.3717,32.4913
2018-05-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,4421.36,1.195,2.2197,33.9437
2018-06-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,4909.88,1.327,2.1076,31.156
2018-07-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,5724.92,1.5473,-0.3463,33.3519
2018-08-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,6049.24,1.6349,2.002,30.1135
2018-09-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,6642.38,1.7952,-1.0184,34.6541
2018-10-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,6262.97,1.6927,3.9656,33.9248
2018-11-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,6075.0,1.6419,2.961,33.8936
2018-12-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,5107.69,1.3805,-0.0557,32.7864
2019-01-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,4451.75,1.2032,2.0121,30.525
2019-02-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,4454.86,1.204,1.7629,32.1163
2019-03-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,4551.75,1.2302,2.8544,33.9159
2019-04-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,5248.31,1.4185,1.9177,34.6287
2019-05-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,6003.28,1.6225,-0.8325,30.0736
2019-06-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,6891.57,1.8626,0.8861,33.7813
2019-07-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,7968.25,2.1536,0.4017,34.4512
2019-08-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,8600.31,2.3244,0.042,31.5666
2019-09-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,8591.8,2.3221,-0.6016,30.398
2019-10-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,8534.6,2.3066,0.9961,31.6699
2019-11-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,8266.99,2.2343,1.6521,34.6552
2019-12-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,7395.82,1.9989,1.2324,31.6323
2020-01-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,7113.06,1.9224,2.5912,34.7365
2020-02-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,6915.74,1.8691,3.348,33.0402
2020-03-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,6262.99,1.6927,1.8531,33.3049
2020-04-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,6717.52,1.8155,1.0896,34.0572
2020-05-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,6996.26,1.8909,1.1137,31.9885
2020-06-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,8059.59,2.1783,3.7351,33.819
2020-07-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,8321.88,2.2492,4.1831,34.3477
2020-08-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,8668.53,2.3428,3.2703,30.1747
2020-09-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,8784.61,2.3742,-0.9845,34.444
2020-10-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,8530.92,2.3057,-0.1273,30.3723
2020-11-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,7769.24,2.0998,-0.3702,34.5174
2020-12-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,7060.23,1.9082,-1.2939,29.6293
2021-01-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,6631.3,1.7922,1.9538,33.928
2021-02-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,5808.6,1.5699,3.3416,29.9091
2021-03-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,6065.03,1.6392,3.7884,33.7694
2021-04-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,6822.67,1.844,3.2765,29.8168
2021-05-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,7288.54,1.9699,-0.7879,32.3245
2021-06-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,8771.71,2.3707,2.0911,34.1961
2021-07-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,9455.96,2.5557,2.6873,30.6424
2021-08-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,9907.23,2.6776,2.5465,34.8931
2021-09-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,9281.89,2.5086,-1.1893,32.9281
2021-10-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,8989.53,2.4296,3.5396,33.4317
2021-11-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,8483.43,2.2928,-0.9772,30.5911
2021-12-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,7111.57,1.922,1.1138,33.834
2022-01-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,6352.83,1.717,1.7628,30.3837
2022-02-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,6406.95,1.7316,0.2177,32.7213
2022-03-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,6792.25,1.8357,2.2006,34.6792
2022-04-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,7385.01,1.9959,1.3976,31.7818
2022-05-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,9005.33,2.4339,-0.8205,30.3241
2022-06-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,10232.17,2.7655,0.2368,31.9107
2022-07-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,11557.53,3.1237,2.1174,31.8238
2022-08-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,11816.04,3.1935,-0.2595,32.7769
2022-09-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,11227.66,3.0345,-1.2945,31.8594
2022-10-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,11650.76,3.1489,-0.2141,32.6913
2022-11-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,10689.82,2.8891,2.5014,33.0989
2022-12-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,9555.3,2.5825,0.3024,33.8521
2023-01-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,9075.75,2.4529,0.9591,32.9805
2023-02-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,9701.29,2.622,1.4226,33.5782
2023-03-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,9808.39,2.6509,3.75,32.3196
2023-04-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,10374.63,2.804,3.0593,31.298
2023-05-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,11035.72,2.9826,1.3166,30.2256
2023-06-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,12853.51,3.4739,3.2994,29.9001
2023-07-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,14076.19,3.8044,0.4045,30.5342
2023-08-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,15719.2,4.2484,2.7333,29.6793
2023-09-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,14245.57,3.8502,3.3823,31.6102
2023-10-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,14080.22,3.8055,1.9248,30.2462
2023-11-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,10815.94,2.9232,3.963,34.9755
2023-12-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,9787.56,2.6453,0.2725,33.3134
2024-01-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,8137.92,2.1994,0.7107,33.0608
2024-02-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,7665.72,2.0718,-0.3084,32.4355
2024-03-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,7972.85,2.1548,-0.5543,34.116
2024-04-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,9198.35,2.486,1.669,34.131
2024-05-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,10902.16,2.9465,-0.6929,32.0205
2024-06-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,12017.06,3.2479,-1.0437,33.6788
2024-07-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,13523.65,3.655,1.1752,30.4136
2024-08-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,13748.41,3.7158,3.6705,29.8411
2024-09-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,12753.61,3.4469,0.1647,32.2471
2024-10-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,12757.97,3.4481,1.3118,30.0542
2024-11-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,10535.48,2.8474,3.3085,33.043
2024-12-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,9247.26,2.4993,2.3202,33.7197
2025-01-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,8424.38,2.2769,0.5897,32.5134
2025-02-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,8233.93,2.2254,3.3135,32.2059
2025-03-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,8409.73,2.2729,3.3565,32.3259
2025-04-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,8833.92,2.3875,1.8466,34.1915
2025-05-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,9204.0,2.4876,1.3433,32.4696
2025-06-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,9913.75,2.6794,0.7717,34.5536
2025-07-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,11042.6,2.9845,-0.4882,31.4298
2025-08-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,12216.0,3.3016,-1.3585,34.6083
2025-09-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,12631.73,3.414,0.2529,32.8318
2025-10-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,11909.6,3.2188,0.0847,33.3964
2025-11-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,10842.54,2.9304,4.0963,32.9499
2025-12-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,10202.01,2.7573,2.8402,34.478
2026-01-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,8091.97,2.187,3.9903,33.8228
2026-02-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,7245.01,1.9581,-0.8496,33.555
2026-03-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,6862.66,1.8548,1.6527,33.1322
2026-04-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,7910.99,2.1381,4.1121,31.1564
2026-05-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,9589.71,2.5918,2.7749,31.4711
2026-06-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,9916.83,2.6802,-1.2666,33.7977
2026-07-01,Uganda,Kampala,cereals and tubers,Beans,KG,UGX,Retail,10731.07,2.9003,4.1176,32.1109
2018-01-01,Uganda,Kampala,cereals and tubers,Rice,KG,UGX,Retail,3535.62,0.9556,0.846,33.8859
2018-02-01,Uganda,Kampala,cereals and tubers,Rice,KG,UGX,Retail,3504.73,0.9472,1.6661,33.9311
2018-03-01,Uganda,Kampala,cereals and tubers,Rice,KG,UGX,Retail,3598.85,0.9727,3.1887,29.7996
2018-04-01,Uganda,Kampala,cereals and tubers,Rice,KG,UGX,Retail,3596.64,0.9721,-1.2224,30.1901
2018-05-01,Uganda,Kampala,cereals and tubers,Rice,KG,UGX,Retail,4031.22,1.0895,2.5656,33.7781
2018-06-01,Uganda,Kampala,cereals and tubers,Rice,KG,UGX,Retail,4406.57,1.191,2.7148,33.9247
2018-07-01,Uganda,Kampala,cereals and tubers,Rice,KG,UGX,Retail,4940.18,1.3352,-0.1631,32.9582
2018-08-01,Uganda,Kampala,cereals and tubers,Rice,KG,UGX,Retail,5183.19,1.4009,-1.4743,32.379
2018-09-01,Uganda,Kampala,cereals and tubers,Rice,KG,UGX,Retail,5095.32,1.3771,-1.3312,31.7673
2018-10-01,Uganda,Kampala,cereals and tubers,Rice,KG,UGX,Retail,4746.01,1.2827,2.3282,30.8834
2018-11-01,Uganda,Kampala,cereals and tubers,Rice,KG,UGX,Retail,3892.89,1.0521,0.4838,34.2081
2018-12-01,Uganda,Kampala,cereals and tubers,Rice,KG,UGX,Retail,3395.38,0.9177,1.8648,31.7435
2019-01-01,Uganda,Kampala,cereals and tubers,Rice,KG,UGX,Retail,3029.23,0.8187,3.5534,30.613
2019-02-01,Uganda,Kampala,cereals and tubers,Rice,KG,UGX,Retail,2928.08,0.7914,0.449,33.4753
2019-03-01,Uganda,Kampala,cereals and tubers,Rice,KG,UGX,Retail,3024.19,0.8173,4.1928,31.2004
2019-04-01,Uganda,Kampala,cereals and tubers,Rice,KG,UGX,Retail,3185.46,0.8609,-0.7201,32.7043
2019-05-01,Uganda,Kampala,cereals and tubers,Rice,KG,UGX,Retail,3309.44,0.8944,0.7365,34.5426
2019-06-01,Uganda,Kampala,cereals and tubers,Rice,KG,UGX,Retail,3988.91,1.0781,-0.7341,31.573
2019-07-01,Uganda,Kampala,cereals and tubers,Rice,KG,UGX,Retail,4248.35,1.1482,-0.3487,29.6954
2019-08-01,Uganda,Kampala,cereals and tubers,Rice,KG,UGX,Retail,4384.52,1.185,2.1169,31.4538
2019-09-01,Uganda,Kampala,cereals and tubers,Rice,KG,UGX,Retail,4359.15,1.1781,3.9675,33.6606
2019-10-01,Uganda,Kampala,cereals and tubers,Rice,KG,UGX,Retail,3984.41,1.0769,0.1219,34.4438
2019-11-01,Uganda,Kampala,cereals and tubers,Rice,KG,UGX,Retail,3363.47,0.909,0.3545,34.5089
2019-12-01,Uganda,Kampala,cereals and tubers,Rice,KG,UGX,Retail,2920.51,0.7893,2.7312,32.79
2020-01-01,Uganda,Kampala,cereals and tubers,Rice,KG,UGX,Retail,2660.74,0.7191,0.2065,30.9034
2020-02-01,Uganda,Kampala,cereals and tubers,Rice,KG,UGX,Retail,2596.08,0.7016,-0.614,34.3213
